Timestamp,Memory_Usage_%,Memory_Used_MB,Disk_Usage_%,CPU_Usage_%,Net_In_KB/s,Net_Out_KB/s,gpu_0_util_%,gpu_0_mem_used_mb,gpu_0_mem_total_mb,gpu_1_util_%,gpu_1_mem_used_mb,gpu_1_mem_total_mb,gpu_2_util_%,gpu_2_mem_used_mb,gpu_2_mem_total_mb,gpu_3_util_%,gpu_3_mem_used_mb,gpu_3_mem_total_mb
2026-04-09 14:17:27,15.85,40833.0,51.0,6.0,0,0,18,3343,49140,0,411,49140,0,20,49140,4,20645,49140
2026-04-09 14:17:34,14.89,38352.0,51.0,18.4,0,0,3,3343,49140,0,18,49140,0,18,49140,4,20645,49140
2026-04-09 14:17:40,14.87,38309.0,51.0,19.3,0,0,4,3343,49140,0,18,49140,0,18,49140,3,20643,49140
2026-04-09 14:17:47,14.83,38198.0,51.0,22.9,0,0,3,3343,49140,0,18,49140,0,18,49140,3,20643,49140
2026-04-09 14:17:53,14.8,38116.0,51.0,15.7,0,0,4,3343,49140,0,18,49140,0,18,49140,3,20643,49140
2026-04-09 14:18:00,14.78,38079.0,51.0,14.4,0,0,5,3343,49140,0,18,49140,0,18,49140,4,20643,49140
2026-04-09 14:18:06,14.78,38070.0,51.0,14.3,0,0,5,3837,49140,0,18,49140,0,18,49140,15,20643,49140
2026-04-09 14:18:13,14.78,38076.0,51.0,7.1,0,0,6,3841,49140,0,18,49140,0,18,49140,8,20643,49140
2026-04-09 14:18:19,14.77,38043.0,51.0,8.0,0,0,3,3839,49140,0,18,49140,0,18,49140,4,20643,49140
2026-04-09 14:18:26,14.78,38058.0,51.0,15.2,0,0,20,3839,49140,0,18,49140,0,18,49140,21,20643,49140
2026-04-09 14:18:32,14.8,38106.0,51.0,9.1,0,0,5,3839,49140,0,18,49140,0,18,49140,30,20643,49140
2026-04-09 14:18:39,14.8,38114.0,51.0,15.2,0,0,3,3839,49140,0,18,49140,0,18,49140,2,20645,49140
2026-04-09 14:18:45,14.8,38113.0,51.0,7.4,0,0,6,3839,49140,0,18,49140,0,18,49140,64,20645,49140
2026-04-09 14:18:51,14.79,38093.0,51.0,12.0,0,0,5,3839,49140,0,18,49140,0,18,49140,2,20645,49140
2026-04-09 14:18:58,14.8,38106.0,51.0,10.2,0,0,12,3839,49140,0,18,49140,0,18,49140,23,20643,49140
2026-04-09 14:19:04,14.81,38137.0,51.0,11.3,0,0,6,3839,49140,0,18,49140,0,18,49140,7,24621,49140
2026-04-09 14:19:11,14.9,38373.0,51.0,17.6,0,0,4,3839,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:19:17,14.93,38464.0,51.0,15.3,0,0,3,3839,49140,0,18,49140,0,18,49140,42,24631,49140
2026-04-09 14:19:24,14.93,38447.0,51.0,24.0,0,0,5,3839,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:19:30,14.94,38468.0,51.0,23.2,0,0,4,3839,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:19:37,15.04,38749.0,51.0,16.0,0,0,22,3839,49140,0,18,49140,0,18,49140,6,24631,49140
2026-04-09 14:19:43,15.15,39030.0,51.0,16.8,0,0,9,3839,49140,0,18,49140,0,18,49140,70,24631,49140
2026-04-09 14:19:50,15.21,39187.0,51.0,6.6,0,0,16,3839,49140,0,18,49140,0,18,49140,2,24631,49140
2026-04-09 14:19:56,15.22,39196.0,51.0,6.8,0,0,24,3839,49140,0,18,49140,0,18,49140,31,24631,49140
2026-04-09 14:20:02,15.23,39223.0,51.0,16.6,0,0,9,3839,49140,0,18,49140,0,18,49140,2,24631,49140
2026-04-09 14:20:09,15.21,39186.0,51.0,6.7,0,0,23,3839,49140,0,18,49140,0,18,49140,23,24631,49140
2026-04-09 14:20:15,15.22,39205.0,51.0,15.2,0,0,5,3839,49140,0,18,49140,0,18,49140,4,24633,49140
2026-04-09 14:20:22,15.19,39134.0,51.0,6.1,0,0,29,3839,49140,0,18,49140,0,18,49140,4,24633,49140
2026-04-09 14:20:28,15.19,39116.0,51.0,6.6,0,0,14,3839,49140,0,18,49140,0,18,49140,62,24631,49140
2026-04-09 14:20:35,15.19,39117.0,51.0,23.6,0,0,17,3839,49140,0,18,49140,0,18,49140,29,24631,49140
2026-04-09 14:20:41,15.19,39134.0,51.0,7.8,0,0,5,3839,49140,0,18,49140,0,18,49140,3,24633,49140
2026-04-09 14:20:48,15.19,39134.0,51.0,14.6,0,0,5,3837,49140,0,18,49140,0,18,49140,73,24631,49140
2026-04-09 14:20:54,15.19,39122.0,51.0,8.4,0,0,5,3837,49140,0,18,49140,0,18,49140,4,24631,49140
2026-04-09 14:21:01,15.2,39141.0,51.0,7.4,0,0,22,3837,49140,0,18,49140,0,18,49140,4,24633,49140
2026-04-09 14:21:07,15.21,39178.0,51.0,16.2,0,0,13,3837,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:21:13,15.21,39171.0,51.0,8.5,0,0,16,3837,49140,0,18,49140,0,18,49140,15,24631,49140
2026-04-09 14:21:20,15.22,39188.0,51.0,6.2,0,0,22,3837,49140,0,18,49140,0,18,49140,35,24631,49140
2026-04-09 14:21:26,15.21,39166.0,51.0,6.0,0,0,18,3837,49140,0,18,49140,1,18,49140,64,24631,49140
2026-04-09 14:21:33,15.22,39195.0,51.0,13.6,0,0,4,3837,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:21:39,15.22,39194.0,51.0,6.1,0,0,7,3837,49140,0,18,49140,0,18,49140,14,24631,49140
2026-04-09 14:21:46,15.22,39206.0,51.0,15.8,0,0,5,3837,49140,0,18,49140,0,18,49140,45,24631,49140
2026-04-09 14:21:52,14.79,38086.0,51.0,4.6,0,0,4,3837,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:21:59,14.79,38094.0,51.0,14.8,0,0,21,3837,49140,0,18,49140,0,18,49140,44,24631,49140
2026-04-09 14:22:05,14.77,38048.0,51.0,4.6,0,0,5,3837,49140,0,18,49140,0,18,49140,77,24631,49140
2026-04-09 14:22:12,14.76,38017.0,51.0,5.4,0,0,23,3837,49140,0,18,49140,0,18,49140,87,24633,49140
2026-04-09 14:22:18,14.77,38044.0,51.0,14.7,0,0,7,3837,49140,0,18,49140,0,18,49140,13,24631,49140
2026-04-09 14:22:24,14.75,38002.0,51.0,13.3,0,0,4,3837,49140,0,18,49140,0,18,49140,50,24631,49140
2026-04-09 14:22:31,14.75,37982.0,51.0,12.2,0,0,4,3837,49140,0,18,49140,0,18,49140,7,24631,49140
2026-04-09 14:22:37,14.75,37985.0,51.0,21.1,0,0,12,3837,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:22:44,14.76,38003.0,51.0,4.9,0,0,3,3837,49140,0,18,49140,0,18,49140,72,24633,49140
2026-04-09 14:22:50,14.76,38022.0,51.0,4.4,0,0,14,3837,49140,0,18,49140,0,18,49140,44,24633,49140
2026-04-09 14:22:57,14.74,37965.0,51.0,22.7,0,0,17,3837,49140,0,18,49140,0,18,49140,3,24631,49140
2026-04-09 14:23:03,14.74,37960.0,51.0,14.8,0,0,5,3837,49140,0,18,49140,0,18,49140,52,24633,49140
2026-04-09 14:23:10,14.75,38001.0,51.0,13.5,0,0,9,3839,49140,0,18,49140,0,18,49140,53,24631,49140
2026-04-09 14:23:16,14.74,37976.0,51.0,14.7,0,0,5,3842,49140,0,18,49140,0,18,49140,13,24631,49140
2026-04-09 14:23:22,14.75,37993.0,51.0,7.4,0,0,22,3842,49140,0,18,49140,0,18,49140,4,24633,49140
2026-04-09 14:23:29,14.75,37987.0,51.0,13.7,0,0,5,3842,49140,0,18,49140,0,18,49140,2,24631,49140
2026-04-09 14:23:35,14.75,37995.0,51.0,5.5,0,0,28,3842,49140,0,18,49140,0,18,49140,3,24633,49140
2026-04-09 14:23:42,14.76,38010.0,51.0,17.0,0,0,3,3842,49140,0,18,49140,0,18,49140,4,24631,49140
2026-04-09 14:23:48,14.75,37981.0,51.0,6.0,0,0,8,3842,49140,0,18,49140,0,18,49140,66,24631,49140
